title,release_year,duration,tconst,averageRating
Who Am I,2014,102,tt3042408,7.5
Geez & Ann,2021,106,tt11936782,5.1
Made You Look: A True Story About Fake Art,2020,90,tt11994750,7.0
Pelé,2021,109,tt13842562,7.0
Red,2021,143,tt11191344,6.4
The Conjuring,2013,112,tt1457767,7.5
The Conjuring 2,2016,134,tt3065204,7.3
Classmates Minus,2020,123,tt12899858,7.1
Operation Finale,2018,123,tt5208252,6.6
Love,2020,91,tt12573294,7.0
Perú: Tesoro escondido,2017,76,tt7679306,6.1
Eeb Allay Ooo!,2019,97,tt9343754,7.2
The Most Unknown,2018,92,tt8126390,6.6
Awara Paagal Deewana,2002,162,tt0319020,6.2
The Resurrection of Gavin Stone,2017,92,tt4902904,6.2
Namaste Wahala,2021,107,tt12423052,5.1
Mundina Nildana,2019,104,tt10882938,6.3
To All The Boys: Always And Forever,2021,116,tt10676012,6.3
Middle of Nowhere,2012,102,tt1211890,6.6
Red Dot,2021,86,tt11307814,5.5
Squared Love,2021,102,tt13846542,5.1
This Is the Life,2008,98,tt1178658,6.7
The World We Make,2019,108,tt7643622,5.3
War Dogs,2016,114,tt2005151,7.1
Monster Run,2020,104,tt10097484,5.1
Little Big Women,2020,123,tt12397078,7.2
Malcolm & Marie,2021,106,tt12676326,6.6
Space Sweepers,2021,138,tt12838766,6.5
"Strip Down, Rise Up",2021,113,tt13787118,5.4
All My Friends Are Dead,2020,97,tt13723064,5.8
Black Beach,2020,116,tt9660688,5.6
Beverly Hills Ninja,1997,89,tt0118708,5.5
Rocks,2019,93,tt9067182,7.4
Shutter Island,2010,139,tt1130884,8.2
The Bank Job,2008,112,tt0200465,7.2
Fatima,2020,113,tt2197936,6.5
Hell Fest,2018,89,tt1999890,5.5
Below Zero,2021,107,tt9845564,6.2
The Dig,2021,113,tt3661210,7.1
Accomplice,2021,52,tt13947978,7.2
Kilometers and Kilometers,2020,127,tt7268736,6.4
Hire a Woman,2019,108,tt10279104,7.1
She Is,2019,102,tt14605914,5.8
The Next Three Days,2010,133,tt1458175,7.3
The White Tiger,2021,127,tt6571548,7.1
Friendsgiving,2020,95,tt8431078,4.4
Cut Throat City,2020,123,tt3547306,4.9
Sightless,2020,89,tt10303430,5.5
Homefront,2013,100,tt2312718,6.5
Homefront,2013,100,tt2558484,6.2
A Monster Calls,2016,108,tt3416532,7.4
Death of Me,2020,94,tt1830643,4.4
Radium Girls,2018,103,tt6317180,6.2
Outside the Wire,2021,116,tt10451914,5.4
Pinkfong & Baby Shark's Space Adventure,2019,65,tt11727004,5.1
The Vanished,2020,115,tt9794630,5.7
Wish You,2021,102,tt13866142,6.4
An Imperfect Murder,2017,71,tt6469960,3.2
Al acecho,2019,81,tt11287390,5.1
"Crack: Cocaine, Corruption & Conspiracy",2021,90,tt13649700,6.7
The Intouchables,2011,112,tt1675434,8.5
Apaharan,2005,161,tt0451631,7.4
BluffMaster!,2005,129,tt0476527,6.6
Gangaajal,2003,148,tt0373856,7.8
Stuck Apart,2021,97,tt11213372,6.0
100% Halal,2020,101,tt11799742,6.6
Leap!,2016,89,tt2261287,6.7
Pieces of a Woman,2020,128,tt11161474,7.0
Hello Brother,1999,126,tt0233856,4.6
Playing for Keeps,2012,106,tt1540128,5.7
Asphalt Burning,2020,101,tt6527456,5.1
Case 39,2009,111,tt0795351,6.2
Eddie Murphy: Raw,1987,90,tt0092948,7.6
Gimme Shelter,2013,101,tt1657510,6.4
Good Burger,1997,96,tt0119215,5.7
Good Hair,2009,96,tt1213585,6.8
Into the Wild,2007,148,tt0758758,8.1
Mystic Pizza,1988,104,tt0095690,6.3
The Creative Brain,2019,53,tt10338308,6.3
The Minimalists: Less Is Now,2021,54,tt13583144,5.9
Unknown,2011,113,tt1401152,6.8
What Happened to Mr. Cha?,2021,102,tt13667212,4.4
What's Eating Gilbert Grape,1993,118,tt0108550,7.7
Alaska Is a Drag,2017,83,tt4341390,6.6
Bobby Jasoos,2014,116,tt3359290,5.5
Tarung Sarung,2020,116,tt11749980,6.0
Too Handsome to Handle,2019,106,tt9543488,6.7
The Rope Curse 2,2020,105,tt13212006,4.7
Rango,2011,110,tt1192628,7.2
DNA,2020,91,tt7600716,6.0
AK vs AK,2020,109,tt11651796,6.9
Isa Pa with Feelings,2019,102,tt10555482,7.8
We Can Be Heroes,2020,101,tt10600398,4.7
Bridezilla,2019,94,tt10589924,6.0
Cemara's Family,2018,110,tt7885874,7.7
"Hello, Love, Goodbye",2019,117,tt10156112,7.3
The History of Future Folk,2012,85,tt2245195,7.1
The Midnight Sky,2020,119,tt10539608,5.6
Your Name Engraved Herein,2020,115,tt10329134,7.2
After We Collided,2020,105,tt10362466,5.0
QLIMAX THE SOURCE,2020,57,tt13517474,7.0
"Ariana grande: excuse me, i love you",2020,98,tt13615386,6.3
The Con Is On,2018,95,tt4685806,4.0
Guest House,2020,84,tt10054316,4.4
Ma Rainey's Black Bottom,2020,94,tt10514222,6.9
Mukhsin,2006,98,tt0863091,7.3
Talentime,2009,120,tt1351669,7.5
Braven,2018,94,tt5001754,5.9
Eggnoid: Love & Time Portal,2019,102,tt10640262,6.2
Love You to the Stars and Back,2017,111,tt7127344,7.4
Sakaling Maging Tayo,2019,90,tt9389622,6.8
Bwakaw,2012,110,tt2244376,7.2
Incarnate,2016,87,tt3216348,5.2
Lee Daniels' The Butler,2013,132,tt1327773,7.2
Nocturnal Animals,2016,117,tt4550098,7.5
The Professor and the Madman,2019,125,tt5932728,7.2
A California Christmas,2020,107,tt13055780,5.8
Giving Voice,2020,91,tt11394338,6.8
The Prom,2020,132,tt10161886,5.9
Torbaaz,2020,133,tt7805960,6.8
Funny Boy,2020,109,tt13345636,6.5
She's the One,2013,111,tt3264438,6.3
The Panti Sisters,2019,108,tt10637682,5.6
"Kalel, 15",2019,105,tt11530234,7.3
Rose Island,2020,119,tt10287954,7.0
André & his olive tree,2020,104,tt13610390,6.7
Bobbleheads The Movie,2020,83,tt13292206,2.3
Triple 9,2016,115,tt1712261,6.3
Ava,2020,97,tt8706138,3.6
Ava,2020,97,tt8784956,5.4
Christmas Crossfire,2020,106,tt13446424,4.8
Leyla Everlasting,2020,113,tt11792734,3.7
MANK,2020,133,tt10618286,6.8
You Are My Home,2020,93,tt6693156,6.6
Between Maybes,2019,108,tt10044704,6.2
Break,2018,96,tt7343574,5.8
Just Another Christmas,2020,101,tt13354204,6.7
Must Be... Love,2013,106,tt2769454,6.4
Fierce,2020,118,tt11692986,5.5
Fierce,2020,118,tt3699816,7.1
3 Days to Kill,2014,117,tt2172934,6.2
Angela's Christmas Wish,2020,48,tt13260836,7.1
Angels & Demons,2009,139,tt0808151,6.7
Chef,2014,115,tt2883512,7.3
Effie Gray,2014,109,tt1605798,6.0
Monster House,2006,91,tt0385880,6.6
Peppermint,2018,102,tt6850820,6.4
Quigley Down Under,1990,120,tt0102744,6.9
The Da Vinci Code,2006,149,tt0382625,6.6
The Happytime Murders,2018,91,tt1308728,5.4
Finding Agnes,2020,106,tt13328840,5.0
Rust Creek,2018,108,tt6610158,5.9
The 2nd,2020,93,tt11697484,3.8
Dance Dreams: Hot Chocolate Nutcracker,2020,81,tt8741182,7.0
The Beast,2020,100,tt11499506,5.2
The Call,2020,112,tt10530176,7.1
The Call,2020,112,tt12971924,4.2
Fantastica,2018,114,tt9270416,3.6
Unexpectedly Yours,2017,121,tt7686876,6.7
Ghosts of War,2020,95,tt6508228,5.6
Shawn Mendes: Live in Concert,2020,87,tt13528990,7.2
The Christmas Chronicles: Part Two,2020,115,tt11057644,6.0
Andhaghaaram,2020,171,tt9110340,7.6
Hillbilly Elegy,2020,117,tt6772802,6.7
Notes for My Son,2020,84,tt13353486,6.4
Hard Kill,2020,98,tt11656172,3.3
Shawn Mendes: In Wonder,2020,83,tt13276386,6.5
Machete Kills,2013,108,tt2002718,5.6
The App That Stole Christmas,2020,64,tt11378154,3.5
Black Friday,2004,162,tt0400234,8.4
Bodyguard,2011,130,tt1729637,4.7
Break Ke Baad,2010,108,tt1578261,5.1
Hawaizaada,2015,129,tt4338154,5.5
My Amnesia Girl,2010,105,tt1783350,6.6
Singham,2011,142,tt1948150,6.8
TE3N,2016,128,tt4814290,7.2
The Princess Switch: Switched Again,2020,97,tt11199410,5.4
Three Words to Forever,2018,107,tt9248252,6.8
Well Done Abba,2009,135,tt1397492,7.3
Ainu Mosir,2020,84,tt9140354,6.6
Loving,2016,124,tt4669986,7.0
Whose Streets?,2017,102,tt6176928,5.8
Cloudy with a Chance of Meatballs 2,2013,95,tt1985966,6.3
White Christmas,1954,120,tt0047673,7.5
Killer Cove,2019,87,tt8748236,4.4
Fukrey Boyzzz: Space Mein Fukrapanti,2020,75,tt13502066,8.5
Jingle Jangle: A Christmas Journey,2020,124,tt7736496,6.4
The Beginning of Life 2: Outside,2020,92,tt12190648,8.0
The Life Ahead,2020,95,tt10627584,6.8
A Very Special Love,2008,107,tt1243381,6.5
First Love,2018,123,tt9060390,5.9
Fruitvale Station,2013,85,tt2334649,7.5
Ludo,2020,150,tt7212754,7.6
Memories of a Teenager,2019,97,tt11254858,6.5
Prom Night,2008,88,tt0926129,3.9
We Are All For The Fatherland,1979,74,tt0170799,6.3
What We Wanted,2020,93,tt13279528,5.9
Citation,2020,151,tt11481312,6.1
Girl's Revenge,2020,82,tt13388018,5.7
The Endless Trench,2019,148,tt7937168,7.2
The Late Bloomer,2016,95,tt1588878,5.2
Alone/Together,2019,103,tt9526822,6.5
Midnight at the Magnolia,2020,87,tt13318052,5.8
One More Try,2012,102,tt2590280,6.0
Operation Christmas Drop,2020,96,tt13236566,5.8
Miss India,2020,136,tt11199310,3.6
MOTHER,2020,127,tt11656548,6.8
The Beginning of Life,2016,96,tt5140248,7.5
Prospect,2018,100,tt7946422,6.3
Elliot the Littlest Reindeer,2018,90,tt4177856,5.0
Little Monsters,1989,102,tt0097758,6.0
Mile 22,2018,94,tt4560436,6.1
Piercing,2018,81,tt6516314,5.5
Snowden,2016,134,tt3774114,7.3
The Impossible,2012,114,tt1649419,7.5
The Next Karate Kid,1994,107,tt0110657,4.5
Wheels of Fortune,2020,107,tt9735976,5.4
His House,2020,93,tt8508734,6.5
In Line,2017,114,tt7492760,5.9
Kaali Khuhi,2020,91,tt10235600,3.5
Rogue City,2020,116,tt10127684,6.1
Pagpag: Nine Lives,2013,106,tt2996950,5.5
Holidate,2020,105,tt9866072,6.1
Metallica Through The Never,2013,93,tt2172935,7.1
Nobody Sleeps in the Woods Tonight,2020,103,tt11240506,4.9
Secrets of the Saqqara Tomb,2020,114,tt13150630,7.2
Ajab Prem Ki Ghazab Kahani,2009,150,tt1252596,6.3
Black '47,2018,100,tt3208026,6.8
I Am Woman,2019,117,tt9185316,6.6
Over the Moon,2020,100,tt7488208,6.3
Bending the Arc,2017,102,tt6370266,8.0
Cadaver,2020,87,tt11284280,5.2
Exes Baggage,2018,103,tt8835552,6.5
Fisherman's Friends,2019,112,tt1648186,7.0
The Hows of Us,2018,120,tt8769032,6.8
The Hummingbird Project,2018,111,tt6866224,6.2
Rebecca,2020,123,tt2235695,6.0
Beirut Oh Beirut,1975,106,tt0169599,6.5
Bosta,2005,112,tt0497335,6.4
Ghadi,2013,101,tt2552296,7.3
Listen,2017,103,tt3766102,9.0
Listen,2017,103,tt6350558,6.6
Out of Life,1991,94,tt0102058,6.9
Panoptic,2017,69,tt7138456,6.3
The Kite,2003,76,tt0377610,6.5
Under the Bombs,2007,94,tt1094275,7.0
What Did I Mess,2018,98,tt9163340,7.2
Whispers,1980,93,tt0170803,7.8
Zozo,2005,99,tt0448267,6.5
ParaNorman,2012,93,tt1623288,7.0
I Am Vengeance: Retaliation,2020,82,tt8972556,3.5
Disconnect,2018,107,tt8413566,5.1
In a Valley of Violence,2016,104,tt3608930,6.1
The Trial of the Chicago 7,2020,130,tt1070874,7.7
Unfriended,2014,83,tt3713166,5.6
A Babysitter's Guide to Monster Hunting,2020,99,tt4844150,5.4
Batman: The Killing Joke,2016,77,tt4853102,6.4
Kartini: Princess of Java,2017,118,tt5882416,7.6
Love Like the Falling Rain,2020,87,tt12217814,4.7
A Choo,2020,101,tt12689526,5.4
BLACKPINK: Light Up the Sky,2020,80,tt13058290,7.3
The Three Deaths of Marisela Escobedo,2020,110,tt13206564,8.1
Fida,2004,117,tt0422236,5.4
Octonauts & the Great Barrier Reef,2020,47,tt13150606,6.6
Dil,1990,165,tt0099429,6.6
Disco Dancer,1982,134,tt0208903,6.4
Hunterrr,2015,140,tt4333674,7.0
Phir Hera Pheri,2006,150,tt0419058,7.1
The Legend of Bhagat Singh,2002,156,tt0319736,8.2
Ginny Weds Sunny,2020,126,tt10543680,5.7
My Step Dad: The Hippie,2018,100,tt8061070,5.2
The Forty-Year-Old Version,2020,124,tt10642834,7.2
Bigflo & Oli: Hip Hop Frenzy,2020,100,tt13161318,6.7
Palermo Hollywood,2004,106,tt0422907,5.3
Hubie Halloween,2020,104,tt10682266,5.2
Walk Away from Love,2017,81,tt5612182,7.6
David Attenborough: A Life on Our Planet,2020,84,tt11989890,8.9
Good Game: The Beginning,2018,115,tt8510324,4.5
A Chaster Marriage,2016,94,tt5985820,5.4
Serious Men,2020,115,tt10230414,6.8
The Binding,2020,93,tt10914452,4.8
Vampires vs. the Bronx,2020,86,tt8976576,5.7
You've Got This,2020,112,tt13118012,5.8
All Because of You,2020,102,tt13106900,4.0
An Ordinary Man,2017,91,tt1785288,5.6
Carlos Almaraz: Playing with Fire,2019,83,tt6335714,7.7
Cold Harbour,2013,73,tt2396369,5.2
Free State of Jones,2016,139,tt1124037,6.9
Human Nature,2019,95,tt9612680,7.7
Hunt for the Wilderpeople,2016,101,tt4698684,7.8
Rize,2005,87,tt0436724,7.1
We Have Always Lived in the Castle,2018,95,tt5952138,5.6
American Murder: The Family Next Door,2020,84,tt12987894,7.2
The Boys in the Band,2020,122,tt10199914,6.8
Bully,2012,98,tt2353867,6.9
Ankhon Dekhi,2013,104,tt3614516,7.9
Dedh Ishqiya,2014,146,tt2675978,7.0
Golmaal Returns,2008,135,tt1092005,5.1
Ishq Vishk,2003,129,tt0362771,6.1
Jab We Met,2007,143,tt1093370,7.9
Manorama Six Feet Under,2007,129,tt0920464,7.6
Welcome,2007,149,tt0488798,7.0
Time Out,2015,98,tt4396648,6.1
My Mother's Wound,2016,115,tt4994736,7.3
Real Steel,2011,127,tt0433035,7.0
Enola Holmes,2020,124,tt7846844,6.6
Kiss the Ground,2020,85,tt8618654,8.2
High & Low The Movie,2016,129,tt5659172,6.4
High & Low The Movie 2 / End of Sky,2017,124,tt6721358,7.2
High & Low The Movie 3 / Final Mission,2017,118,tt7624932,7.2
High & Low The Red Rain,2016,111,tt5923040,6.1
High & Low The Worst,2019,125,tt11135936,6.7
Road To High & Low,2016,94,tt5659164,6.5
The Blue Elephant 2,2019,130,tt10515086,8.1
Black,2015,137,tt4008758,7.0
Black,2015,137,tt7254796,4.5
Saheb Biwi Aur Gangster Returns,2013,139,tt2362778,6.7
Santa Banta Pvt Ltd,2016,111,tt2909396,2.7
The Royal Bengal Tiger,2014,103,tt3479858,6.8
Whipped,2020,98,tt11754464,4.1
Anaamika,2014,130,tt2939898,5.4
GIMS: On the Record,2020,96,tt12982218,6.9
Horrid Henry's Gross Day Out,2020,61,tt13034096,5.8
Residue,2020,90,tt11568878,6.5
The Devil All The Time,2020,139,tt7395114,7.1
The Paramedic,2020,94,tt11127690,5.7
The Take,2016,92,tt2368619,6.3
Raising Victor Vargas,2002,88,tt0316188,7.2
The Smurfs 2,2013,105,tt2017020,5.3
Wish Upon a Unicorn,2020,93,tt10798660,5.3
Lara and the Beat,2018,140,tt7819668,5.8
Dad Wanted,2020,103,tt12721188,5.7
How to Train Your Dragon 2,2014,102,tt1646971,7.8
Aapla Manus,2018,133,tt7867076,7.0
Ani... Dr. Kashinath Ghanekar,2018,157,tt8784906,8.4
Cycle,2018,96,tt6627630,8.1
Dhh,2017,127,tt7613166,7.8
Kaagar,2019,130,tt8907844,6.1
Night of Knots,2018,93,tt8045670,5.4
PhotoCopy,2016,138,tt4687508,6.5
Poshter Girl,2016,138,tt5323386,6.7
Satria Heroes: Revenge of the Darkness,2017,92,tt9033440,4.6
The Babysitter: Killer Queen,2020,102,tt11024272,5.8
Cuties,2020,96,tt5896778,1.7
Cuties,2020,96,tt9196192,3.5
So Much Love to Give,2020,108,tt11827806,5.3
The Social Dilemma,2020,94,tt11464826,7.6
#Alive,2020,99,tt10620868,6.3
My Octopus Teacher,2020,86,tt12888462,8.1
"Waiting for ""Superman""",2010,111,tt1566648,7.4
Villain,2020,97,tt9820352,5.9
I'm Thinking of Ending Things,2020,135,tt7939766,6.6
Kandasamys: The Wedding,2019,93,tt10217780,6.0
The Lost Okoroshi,2019,94,tt10888456,5.8
You're My Boss,2015,117,tt4489160,6.3
Ave Maryam,2018,73,tt9307666,6.9
"Love, Guaranteed",2020,91,tt11100856,5.6
Hotel for Dogs,2009,101,tt0785006,5.4
Sky Tour: The Movie,2020,93,tt12486200,6.0
Adrift,2018,96,tt6306064,6.6
Always Be My Maybe,2016,112,tt5341036,6.6
Barbie Princess Adventure,2020,72,tt12767498,5.5
Children of the Sea,2019,112,tt9850064,6.5
Puss in Boots,2011,92,tt0448694,6.6
Sex Drive,2008,109,tt1135985,6.5
Soldier,1998,155,tt0120157,6.0
Soldier,1998,155,tt0211634,6.3
The Match,2020,97,tt6639482,5.8
The Smurfs,2011,103,tt0472181,5.4
Maniyarayile Ashokan,2020,110,tt11060730,4.7
All Together Now,2020,94,tt3155342,6.5
Santana,2020,107,tt11769162,3.9
Unknown Origins,2020,97,tt5827790,6.1
Edge of Seventeen,1998,103,tt0138414,6.8
The Bridge Curse,2020,88,tt11242242,5.2
The Young Messiah,2016,111,tt1002563,5.7
Lingua Franca,2019,94,tt8943224,6.5
Rising Phoenix,2020,107,tt10851618,8.1
Class of '83,2020,98,tt10230422,5.8
Dark Forces,2020,81,tt12536776,2.7
The Sleepover,2020,104,tt10888708,5.6
Scarecrow,2019,121,tt10696882,4.9
The Crimes That Bind,2020,100,tt10915060,6.7
Little Singham: Kaal Ka Badla,2020,70,tt12934616,7.3
Drunk Parents,2019,97,tt5037840,4.0
Crazy Awesome Teachers,2020,102,tt10643918,6.2
Les Misérables,2012,158,tt1707386,7.5
Seventh Son,2014,102,tt1121096,5.5
What's Your Raashee?,2009,203,tt1242530,4.8
Fearless,2020,92,tt8675288,4.9
Nigerian Prince,2018,104,tt6851966,5.9
Project Power,2020,113,tt7550000,6.0
An Easy Girl,2019,93,tt9632590,5.6
Christine,2016,119,tt4666726,6.9
Simon Killer,2012,105,tt1790834,6.3
Gunjan Saxena: The Kargil Girl,2020,113,tt10350626,5.6
Mr. Peabody & Sherman,2014,93,tt0864835,6.8
The Lost Husband,2020,110,tt4257940,6.1
Stars in the Sky: A Hunting Story,2018,69,tt10078502,7.2
The Magic School Bus Rides Again Kids In Space,2020,46,tt12730310,6.2
Work It,2020,94,tt10276470,6.1
Nasha Natasha,2020,72,tt5818722,6.4
Anelka: Misunderstood,2020,95,tt12724622,6.4
Sin City,2019,101,tt14064260,3.1
Malibu Rescue: The Next Wave,2020,71,tt11032990,4.8
Killing Hasselhoff,2017,80,tt2967226,4.5
The Ottoman Lieutenant,2017,111,tt4943322,6.4
What Keeps You Alive,2018,99,tt7073710,5.7
Raat Akeli Hai,2020,150,tt12567088,7.2
Seriously Single,2020,108,tt11010144,4.5
Retablo,2017,102,tt7761590,7.5
Uma Maheswara Ugra Roopasya,2020,137,tt11506054,7.6
It's Her Day,2016,112,tt12916126,6.7
Redemption,2019,102,tt8870574,6.0
Shine Your Eyes,2020,103,tt8477336,6.5
The Hater,2020,136,tt9506474,7.1
Double World,2020,110,tt10508838,6.1
Project Marathwada,2016,103,tt5714802,6.6
Offering to the Storm,2020,140,tt7304824,6.2
Romance Doll,2020,124,tt10914712,6.4
The Kissing Booth 2,2020,133,tt9784456,5.7
The Larva Island Movie,2020,91,tt12588448,5.1
The Remix: Hip Hop X Fashion,2019,67,tt10011480,7.3
Ip Man 4: The Finale,2019,105,tt2076298,7.0
Funan,2018,87,tt6342440,6.9
Father Soldier Son,2020,100,tt12187586,7.3
The Millions,2019,95,tt10912990,5.7
Fatal Affair,2020,90,tt11057594,4.6
MILF,2018,102,tt7205316,4.8
Cold Feet,2019,98,tt11045972,4.2
Sylvia,2018,104,tt8326250,4.9
The Players,2020,89,tt10168672,4.8
We Are One,2020,86,tt12588398,4.9
Mama's Boy,2018,101,tt8665900,6.2
The Old Guard,2020,126,tt7556122,6.6
Born Racer,2018,89,tt6936350,6.1
Mucho Mucho Amor: The Legend of Walter Mercado,2020,96,tt11378264,7.2
The Long Dumb Road,2018,91,tt4712076,6.1
A Kid from Coney Island,2019,89,tt9567112,7.0
Aiyyaa,2012,151,tt2255934,4.3
Bbuddah Hoga Terra Baap,2011,116,tt1869296,5.6
Blood Money,2012,110,tt1753521,3.2
Blood Money,2012,110,tt2246595,5.0
Bombay Talkies,2013,123,tt2797242,6.6
Boss,2013,139,tt2571140,5.1
Boss,2013,139,tt3667436,5.7
Budhia Singh: Born to Run,2016,95,tt5805252,7.6
Chashme Baddoor,2013,121,tt2229848,5.4
Dharam Sankat Mein,2015,127,tt4354740,6.3
Drishyam,2015,162,tt4430212,8.2
Gabbar Is Back,2015,128,tt2424988,7.1
Gollu Aur Pappu,2014,112,tt4219300,3.8
Inkaar,2013,125,tt2094854,6.1
Mary Kom,2014,120,tt3001638,6.8
Michael,2011,86,tt1754202,5.3
Michael,2011,86,tt1906426,6.9
Mumbai Delhi Mumbai,2014,107,tt4045666,5.7
One by Two,2014,135,tt2951576,3.9
Only,2019,97,tt3984356,5.1
Penalty,2019,125,tt10530392,5.3
Players,2012,162,tt1784589,4.2
Pyaar Ka Punchnama 2,2015,136,tt4430136,7.3
Shaitan,2011,126,tt1836912,7.2
Special 26,2013,137,tt2377938,8.0
Tanu Weds Manu,2011,114,tt1694542,6.8
What the Fish,2013,96,tt3357416,5.2
Desperados,2020,107,tt1545304,5.2
Hunter in the Blue Side of Manchester,2020,89,tt11710234,5.6
The Perfect Picture: Ten Years Later,2019,148,tt12058774,6.2
David Foster: Off the Record,2019,107,tt10655608,7.0
Double Jeopardy,1999,105,tt0150377,6.5
Stardust,2007,128,tt0486655,7.6
Total Recall,1990,114,tt0100802,7.5
Under the Riccione Sun,2020,102,tt10941528,5.6
The Mirror Boy,2011,86,tt1730705,4.8
#FriendButMarried 2,2020,104,tt11640412,6.9
Skin,2019,76,tt10268708,7.0
Eurovision Song Contest: The Story of Fire Saga,2020,124,tt8580274,6.5
Kasanova,2019,117,tt10887282,6.7
Ordinary People,2016,107,tt5891626,7.4
Krishna and His Leela,2020,126,tt11773276,5.6
Prem Ratan Dhan Payo,2015,164,tt3595298,4.4
Vivah,2006,166,tt0494290,6.6
Athlete A,2020,104,tt11905462,7.6
Bulbbul,2020,94,tt12393526,6.5
Nobody Knows I'm Here,2020,92,tt10728764,6.5
Kappela,2020,112,tt11230868,7.5
The Royal Hibiscus Hotel,2017,90,tt7229730,5.3
Woodshock,2017,101,tt4677924,4.2
Elevator Baby,2019,84,tt11005162,6.6
Chaman Bahaar,2020,112,tt8747450,6.9
Destiny,1997,136,tt0118917,6.2
Destiny,1997,136,tt0119629,7.2
Disclosure,2020,108,tt7933796,5.8
Disclosure,2020,108,tt8637504,8.2
Feel the Beat,2020,110,tt10714856,6.3
Lost Bullet,2020,93,tt10456740,6.3
One-Way to Tomorrow,2020,90,tt11988512,5.6
The Emigrant,1994,130,tt0110545,6.5
A Whisker Away,2020,104,tt11958344,6.7
Alexandria: Again and Forever,1989,109,tt0099858,6.5
An Egyptian Story,1982,129,tt0084042,7.3
Cairo Station,1958,73,tt0051390,7.5
Dark Waters,1956,104,tt0049761,6.7
Lola Igna,2019,114,tt10965300,7.2
One Take,2020,86,tt12401232,5.9
Saladin,1963,194,tt0057357,7.6
Stray Bullet,2010,76,tt1726871,6.3
The Blazing Sun,1954,116,tt0044429,7.3
The Nut Job,2014,85,tt1821658,5.7
An Evening with Beverly Luff Linn,2018,108,tt6518270,5.8
Riding Faith,2020,81,tt5244812,4.3
Last Flight to Abuja,2012,76,tt2287851,4.4
The Darkness,2016,92,tt1878841,4.5
The Darkness,2016,92,tt4935746,5.6
Underdogs,2013,85,tt1634003,6.4
Underdogs,2013,85,tt2123342,5.8
Wira,2019,108,tt11194492,6.3
4th Republic,2019,120,tt10279102,6.2
Asura Guru,2020,117,tt8011344,3.2
Milea,2020,100,tt11127878,6.1
Da 5 Bloods,2020,156,tt9777644,6.5
Okko's Inn,2018,96,tt8328740,7.0
From A to B,2014,104,tt1666287,5.8
Menahi,2008,101,tt9600178,6.6
Middle Men,2009,113,tt1251757,6.8
The Witch: Part 1 - The Subversion,2018,126,tt8574252,7.1
Before I Fall,2017,98,tt1691916,6.4
365 Days,2020,114,tt10886166,3.3
Forensic,2020,132,tt10187680,6.8
Project Papa,2018,92,tt7243756,6.4
The Night Clerk,2020,90,tt7979142,5.6
Big Stone Gap,2014,103,tt3254796,5.7
The Last Days of American Crime,2020,149,tt1552211,3.7
The Light of My Eyes,2010,96,tt1918984,5.7
Hot Sweet Sour,2017,102,tt7535964,6.0
Overnight Republic,2017,105,tt6721848,5.8
Lady Bird,2017,94,tt4925292,7.4
Life's Speed Bump,2006,109,tt1010422,6.6
My Horrible Grandma,2012,100,tt2350736,5.3
Sorry To Disturb,2008,116,tt1282371,8.0
The Student Cop,2004,111,tt0419482,6.3
What's Up?,2006,95,tt0791180,3.0
122,2019,95,tt7867670,6.0
Cook Off,2017,100,tt7981318,6.0
Kalek Shanab,2019,80,tt10773606,5.2
Mirai,2018,98,tt6900448,7.0
The Disaster Artist,2017,104,tt3521126,7.3
Freej Al Taibeen,2018,99,tt10078900,5.9
The Other,1999,106,tt0196355,5.9
Grandmother's Farm Part 2,2015,80,tt4658908,5.6
Intuition,2020,116,tt12282598,5.5
I'm No Longer Here,2019,112,tt4323594,7.3
Ne Zha,2019,110,tt10627720,7.4
Uncut Gems,2019,135,tt5727208,7.4
One Day We'll Talk About Today,2020,128,tt10773114,7.4
Si Doel the Movie 3,2020,93,tt11469660,6.5
Living in Bondage: Breaking Free,2019,149,tt12539758,5.1
The Lovebirds,2020,87,tt8851668,6.1
The School of Mischief,1973,253,tt1773561,6.2
Anchor Baby,2010,97,tt1666555,6.3
Honeytrap,2014,94,tt3159818,5.8
I Will Follow,2010,80,tt1624426,6.1
Mutiny of the Worker Bees,2020,94,tt9014248,4.1
Escaping Tel Aviv,2009,120,tt1650844,7.3
Game Over,2012,96,tt7089978,3.1
My Sleeping Lover,2008,93,tt1584838,3.4
Tarek's Situation,2006,110,tt0830700,6.9
The Beach Loafer,2004,112,tt2215481,4.8
Wadjda,2012,93,tt2258858,7.5
Zaki Chan,2005,109,tt0827788,6.6
The End,2019,97,tt10985028,5.0
Heaven Without People,2017,91,tt7583280,7.6
Dilan 1990,2018,109,tt7843946,7.1
Dilan 1991,2019,118,tt9648942,6.5
Fan of Amoory,2018,109,tt9140904,6.3
Malang,2020,131,tt9877170,6.5
The Delivery Boy,2018,67,tt8541826,6.3
Wedy Atkalam,2018,72,tt9437052,5.7
The Wrong Missy,2020,90,tt9619798,5.7
Ali & Alia,2019,106,tt9859758,5.1
Action Replayy,2010,129,tt1396208,4.2
Andaz Apna Apna,1994,160,tt0109117,8.0
John Henry,2020,92,tt8170298,3.6
18 Presents,2020,114,tt10816484,6.9
Aerials,2016,90,tt5314138,1.5
In Paradox,2019,94,tt10508182,5.2
Si Doel the Movie,2018,86,tt8669070,6.8
Becoming,2020,89,tt12221748,6.9
Becoming,2020,89,tt2573372,4.8
