tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating
tt0067323,Troubleshooters,1971,100,"Action,Comedy,Crime",6.1
tt7144786,Clara Estrela,2017,71,Documentary,8.2
tt8095076,Snu,2019,94,"Drama,History,Romance",6.5
tt1058008,Sick Nurses,2007,82,"Crime,Horror",5.1
tt0140088,Il guerriero Camillo,1999,90,Comedy,5.8
tt2628840,Sattuman syyt,2013,45,Documentary,6.3
tt1058017,The Invention of Lying,2009,100,"Comedy,Fantasy,Romance",6.3
tt0071182,Il bacio di una morta,1974,95,"Drama,Horror,Romance",5.5
tt0125754,The Guardians,1978,103,Drama,4.9
tt1475380,Looking for Anne,2009,105,Drama,7.2
tt0109804,Fire Eyes,1994,60,Documentary,5.9
tt2664226,Hor taew tak 4,2012,102,Comedy,4.9
tt1980287,The Surfer,2011,84,"Adventure,Drama,Sport",5.8
tt13143740,Dream Journal 2016-2019,2019,95,"Animation,Fantasy,Horror",6.3
tt3950880,A 60 km/h,2014,100,Documentary,7.6
tt4967220,Keep the Change,2017,94,"Comedy,Romance",6.5
tt1899118,Anasinin Gozu,1974,72,Action,6.4
tt5183500,The Terror of Hallow's Eve,2017,80,"Drama,Horror,Thriller",5.1
tt2126284,Envisage,2016,82,Drama,6.1
tt5581736,Golosa bolshoy strany,2016,89,"Comedy,Drama,Musical",4.3
tt1327599,The Rock-afire Explosion,2008,72,Documentary,7.4
tt6259366,Pinamar,2016,83,Drama,7.0
tt0253818,To Kill the King,1974,86,"Adventure,Crime,Drama",5.8
tt0042203,The Arizona Cowboy,1950,67,Western,5.8
tt0492951,A Conversation with Basquiat,2006,99,Documentary,7.9
tt12198504,Monstrous,2020,86,"Drama,Fantasy,Horror",3.8
tt8383894,White Rhino,2019,64,"Action,Adventure,Documentary",7.7
tt0264130,The Uncles,2000,93,"Comedy,Drama",7.1
tt0064045,The Assassination Bureau,1969,110,"Action,Adventure,Comedy",6.4
tt1688074,Rainmakers,2010,70,Documentary,6.8
tt0127418,L'ami du jardin,1999,90,Thriller,6.1
tt0111487,Tri sestry,1994,106,Drama,4.6
tt10789216,Diary of a Spy,2022,99,"Drama,Mystery,Romance",4.5
tt0114403,Shadow Creature,1995,90,"Comedy,Horror",3.8
tt6660418,TranZformed: Finding Peace with Your God-Given Gender,2017,106,Documentary,4.3
tt0067067,Hector the Mighty,1972,91,Comedy,5.5
tt0093442,Love Potion,1987,91,"Drama,Thriller",6.1
tt8226802,Restaurant from the Sky,2019,126,Family,5.8
tt0417731,Guarding Eddy,2004,96,"Drama,Sport",6.8
tt0039202,Blondie's Big Moment,1947,69,"Action,Adventure,Comedy",6.4
tt1813327,The Salt of Life,2011,90,"Comedy,Romance",6.3
tt2125645,The Cuddly Toy,2012,92,Thriller,6.0
tt0042813,Den opvakte jomfru,1950,100,"Comedy,Drama,Family",5.1
tt14267154,Ripper Untold,2021,85,Horror,4.4
tt0105552,Te yi gong neng xing qiu ren,1992,95,"Comedy,Fantasy",5.5
tt2955304,Halal Daddy,2017,95,Comedy,4.8
tt0089241,The Gunfighter,1983,92,"Action,Western",5.8
tt0287518,Sensual Classroom: Techniques in Love,1972,72,Drama,5.4
tt10628692,"Tora-san, Welcome Back!",2019,115,"Comedy,Drama",6.8
tt0199046,Stamatis and Grigoris,1962,86,Comedy,5.8
tt0043615,Half Angel,1951,77,"Comedy,Romance",6.0
tt4693548,Das dunkle Gen,2015,99,Documentary,5.8
tt1385477,Anyone Can Play Guitar,2009,124,Documentary,8.0
tt7266800,"One Light, One World",1992,104,"Documentary,Sport",5.6
tt1039952,Citizen,2001,172,"Action,Drama,Mystery",7.2
tt1537904,Süpürrr!,2009,96,"Comedy,Romance",3.1
tt0348016,Water Margin: Heroes' Sex Stories,1999,88,Drama,4.8
tt7704392,My Little Girl Is Gone,2018,88,Thriller,5.2
tt1409711,T Is for Teacher,2009,71,Documentary,5.8
tt3355972,"A Haunting in Saginaw, Michigan",2013,90,"Documentary,Horror",4.7
tt1758849,Zrubavel,2008,70,Drama,7.5
tt5253378,The Turkish Way,2016,120,Documentary,6.5
tt0255965,Love Wanders in the Night,1981,90,Drama,6.7
tt5864904,The Capture,2017,78,"Sci-Fi,Thriller",5.5
tt1225630,Do Not Disturb,2009,85,"Comedy,Drama,Romance",8.6
tt12874840,Simulation Theory Film,2020,90,"Music,Sci-Fi",7.2
tt0034659,Doctor Glas,1942,89,Drama,5.8
tt0038613,"Home, Sweet Homicide",1946,90,"Adventure,Comedy,Crime",7.0
tt0112503,Bikini Bistro,1995,85,Comedy,3.0
tt2064771,Filim Bitti,1989,94,Drama,6.5
tt0090736,Blackout,1986,87,"Crime,Drama,Thriller",4.9
tt0224333,Upside Down,1999,93,Drama,6.3
tt7733224,Alex Winter,2019,66,"Drama,Mystery,Thriller",4.6
tt0042427,Devotion,1950,95,Drama,7.3
tt4069042,Anna Unbound,2015,89,"Drama,Horror,Thriller",6.2
tt0127914,Freak Talks About Sex,1999,90,Comedy,5.8
tt0928047,Josh's Trees,2005,76,Documentary,7.0
tt8737938,Dansa först,2018,87,"Comedy,Drama,Music",5.4
tt1534000,Cha Cha for Twins,2012,109,"Comedy,Drama,Romance",7.0
tt0036797,Es lebe die Liebe,1944,88,Comedy,7.4
tt0122570,Strictly Propaganda,1992,94,Documentary,8.7
tt3683458,Kotha Janta,2014,146,"Comedy,Drama",4.7
tt8253438,The Unknown Tour,2019,60,Documentary,5.4
tt0289594,Underage,1982,58,Documentary,7.5
